set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6
2.068279,-1.2791259,-1.7933095,-1.062624,1.7375381,1.2387389,-0.85615957,2.0362654,-1.2169679,-1.7532909,-1.125939,1.7749257,1.1744696,-0.89776415
2.0647302,-1.2932158,-1.8017135,-1.0484449,1.7386974,1.2447962,-0.852392,2.0433683,-1.2304796,-1.7632244,-1.1104456,1.7678361,1.1791102,-0.8954658
2.0506501,-1.3083506,-1.8134826,-1.0340939,1.7430991,1.2498302,-0.850196,2.0480528,-1.244327,-1.7732017,-1.0951544,1.7618527,1.1838099,-0.89299196
2.018412,-1.3212864,-1.816851,-1.021505,1.7560465,1.2553387,-0.8471775,2.0488577,-1.2583345,-1.7825725,-1.0805498,1.7574334,1.1885496,-0.89036554
1.9814693,-1.3290225,-1.754349,-1.0119082,1.8033985,1.258394,-0.8489255,2.0455046,-1.2719187,-1.7889335,-1.0651785,1.7564282,1.1953207,-0.8869037
1.9634911,-1.3250748,-1.7413263,-0.99646366,1.8012286,1.2586569,-0.85931724,2.037528,-1.2849516,-1.7885921,-1.0492064,1.7574086,1.2027327,-0.8830299
1.9548293,-1.3231963,-1.7504923,-0.9808073,1.7690468,1.2736666,-0.86584985,2.0252714,-1.2976335,-1.7800128,-1.0335985,1.7565751,1.2085024,-0.8795242
1.9445815,-1.3159313,-1.7521855,-0.96907747,1.73737,1.2799888,-0.85472924,2.0101995,-1.309419,-1.7648895,-1.0189024,1.7511868,1.2118937,-0.8765821
1.9304706,-1.3019239,-1.7297213,-0.96168715,1.7542623,1.2785238,-0.84302557,1.9943748,-1.3188909,-1.7477844,-1.0048472,1.7427545,1.2159716,-0.8735599
1.9141581,-1.2980148,-1.7105155,-0.9491847,1.7693486,1.277069,-0.8384506,1.9789081,-1.3254617,-1.7306793,-0.9913069,1.7330078,1.2210165,-0.87033933
1.8958862,-1.2839773,-1.6840907,-0.9271326,1.7614195,1.2789751,-0.83672655,1.9641986,-1.3292669,-1.7135742,-0.97740424,1.7223474,1.227284,-0.8668546
1.8787458,-1.27542,-1.6616471,-0.906492,1.7561817,1.2784958,-0.8386846,1.9501185,-1.3303618,-1.6964691,-0.9624754,1.7115688,1.234919,-0.86312
1.8640126,-1.2655841,-1.6309534,-0.8911753,1.7597517,1.2672334,-0.8519502,1.9364295,-1.328758,-1.679364,-0.9464823,1.7020721,1.2441466,-0.85925484
1.8502709,-1.2588841,-1.6080817,-0.8731067,1.7541201,1.2527622,-0.86105883,1.9227843,-1.3244303,-1.6622589,-0.9299389,1.6949594,1.2541888,-0.8555212
1.8368803,-1.2494198,-1.5869005,-0.8562414,1.7525691,1.244437,-0.8756528,1.9088721,-1.3173598,-1.6451538,-0.9135672,1.6908469,1.2638608,-0.852252
1.8238297,-1.239487,-1.5670501,-0.84097254,1.7540485,1.2492541,-0.8810865,1.8944907,-1.3075503,-1.6280487,-0.89809,1.690023,1.2719136,-0.8497114
1.8111337,-1.2276852,-1.5486712,-0.8284919,1.7578962,1.2724285,-0.87519836,1.879724,-1.2951964,-1.611676,-0.88386977,1.6928763,1.2784635,-0.84788036
1.7973713,-1.2142842,-1.5321928,-0.8194428,1.7616969,1.2972348,-0.86347866,1.8647819,-1.2810344,-1.5962512,-0.8710009,1.698854,1.283949,-0.84659576
1.7835449,-1.1996174,-1.517063,-0.81302047,1.767768,1.3156407,-0.84920985,1.8498664,-1.2659224,-1.5815971,-0.8594891,1.7069907,1.2887479,-0.8456516
1.7706535,-1.1838896,-1.5020231,-0.8082537,1.7748476,1.3294315,-0.8396123,1.8351703,-1.2505168,-1.5673931,-0.84930766,1.7163539,1.2931405,-0.84487724
1.7572528,-1.1683984,-1.4885244,-0.80247647,1.7832756,1.3363682,-0.8346607,1.8207946,-1.2352027,-1.5533855,-0.840304,1.7262416,1.297289,-0.8441706
1.7435243,-1.1532162,-1.4746232,-0.79739845,1.792567,1.3427366,-0.8359704,1.8067317,-1.2201442,-1.5394104,-0.83226264,1.7362227,1.3012849,-0.84350586
1.7301328,-1.1384059,-1.4609754,-0.79324126,1.8015616,1.3485603,-0.83262086,1.7929225,-1.2053546,-1.5254028,-0.8249985,1.7460685,1.3051854,-0.8428526
1.7158461,-1.1247951,-1.4468564,-0.7919437,1.8109463,1.3536316,-0.8304783,1.7792468,-1.1908149,-1.5113418,-0.8184935,1.7557063,1.3090287,-0.8421831
1.7034645,-1.1108521,-1.4337792,-0.7965657,1.8200508,1.3626065,-0.8314218,1.7656646,-1.1764792,-1.497277,-0.8130709,1.7651381,1.312872,-0.8415041
1.68927,-1.0967721,-1.4199216,-0.7934653,1.8292575,1.3662322,-0.8341113,1.752111,-1.162279,-1.4832542,-0.8087431,1.774406,1.3167402,-0.84084225
1.6757065,-1.0832353,-1.4059252,-0.8018427,1.8389556,1.3714395,-0.8431976,1.7385383,-1.1481742,-1.4692848,-0.80578864,1.7835822,1.3206445,-0.8402815
1.6628796,-1.0699899,-1.3930345,-0.81772137,1.8478528,1.3786252,-0.8471068,1.7249694,-1.1341628,-1.455405,-0.80490744,1.792707,1.3246175,-0.8398781
1.6499281,-1.0563867,-1.3796856,-0.832309,1.8566934,1.3852198,-0.8528438,1.7114501,-1.120241,-1.4416358,-0.8066603,1.8017993,1.3286897,-0.83967876
1.6370683,-1.0421515,-1.3670008,-0.8364471,1.865159,1.3913094,-0.8511985,1.6980224,-1.1063632,-1.4280174,-0.8107325,1.8108573,1.3328763,-0.8396673
1.6256717,-1.0288742,-1.354593,-0.8442724,1.8726993,1.3983855,-0.84401846,1.6847777,-1.0925158,-1.4145992,-0.81646216,1.8198504,1.3371869,-0.83975697
1.6109726,-1.0149243,-1.3426335,-0.85404414,1.8800822,1.4020913,-0.8372294,1.6716533,-1.0786799,-1.4014328,-0.8232571,1.8287349,1.3416044,-0.83985233
1.5975735,-1.0019482,-1.3302118,-0.86391175,1.8869464,1.4069717,-0.83390874,1.6585555,-1.0648803,-1.3885238,-0.8306891,1.8374591,1.3461095,-0.83989143
1.5863798,-0.98964626,-1.318572,-0.8736866,1.8941545,1.4128104,-0.83130115,1.6455188,-1.0511931,-1.3758609,-0.83849394,1.8459888,1.3506967,-0.8398447
1.5715823,-0.97581273,-1.306875,-0.883985,1.901658,1.4171486,-0.8303708,1.6324725,-1.0376223,-1.3634212,-0.84656584,1.85432,1.3553525,-0.8397045
1.5590787,-0.96363735,-1.2956524,-0.8932144,1.9094709,1.4224914,-0.82959414,1.6193957,-1.0241984,-1.3511932,-0.85484564,1.8624835,1.3600675,-0.8394766
1.5458131,-0.951012,-1.285134,-0.90318745,1.9159728,1.4271903,-0.82927257,1.6062827,-1.0109404,-1.339194,-0.8633305,1.8704753,1.364832,-0.8391714
1.5331279,-0.9392369,-1.2742009,-0.91126466,1.9211501,1.4325708,-0.82931334,1.5931602,-0.99788046,-1.3274238,-0.87195075,1.8782439,1.3696424,-0.83880424
1.5200822,-0.9276543,-1.2639017,-0.92122436,1.9282175,1.4374653,-0.8298302,1.5800529,-0.98505545,-1.315892,-0.8806912,1.8857875,1.3744909,-0.8383951
1.5080154,-0.91705716,-1.2551366,-0.9278307,1.9304037,1.4429495,-0.8306174,1.5670123,-0.972527,-1.3046672,-0.88942206,1.8929954,1.3793737,-0.83796597
1.4958739,-0.90805334,-1.247111,-0.93485314,1.9339406,1.4483799,-0.82923555,1.5540977,-0.9604182,-1.2938602,-0.89798987,1.8997607,1.3842908,-0.8375206
1.4809934,-0.89742804,-1.2385824,-0.94844204,1.9376432,1.4524125,-0.82464314,1.5412078,-0.94875574,-1.2835243,-0.90659773,1.9060416,1.3892289,-0.8370304
1.4715008,-0.8909685,-1.2342714,-0.95749056,1.9355438,1.4585663,-0.8209861,1.5284381,-0.93767214,-1.273835,-0.91538775,1.9116683,1.394188,-0.8364639
1.46007,-0.8866132,-1.2347323,-0.9662463,1.9247718,1.4641128,-0.8193946,1.5158858,-0.92741346,-1.2651966,-0.9243752,1.9161849,1.3991662,-0.8358154
1.4478788,-0.8838774,-1.2439413,-0.9745306,1.9043095,1.4687868,-0.8144179,1.5035586,-0.91825056,-1.2583835,-0.9334818,1.918838,1.404154,-0.8350649
1.4337554,-0.8769239,-1.2584851,-0.99316376,1.8897182,1.4710855,-0.8060827,1.4913116,-0.91014147,-1.2543304,-0.9430777,1.919126,1.4091226,-0.8341608
1.4212079,-0.87152207,-1.2796489,-1.0100455,1.8819234,1.4733558,-0.8110161,1.4790282,-0.9028897,-1.2539661,-0.95359766,1.9170871,1.4140302,-0.83314896
1.4071121,-0.862545,-1.3023851,-1.0225747,1.8741529,1.4769136,-0.8049641,1.4665847,-0.8960824,-1.2578781,-0.96510375,1.9130874,1.4188577,-0.83203125
