joint_0_raw,joint_0_standard_sg,joint_0_realtime_sg,joint_1_raw,joint_1_standard_sg,joint_1_realtime_sg,joint_2_raw,joint_2_standard_sg,joint_2_realtime_sg,joint_3_raw,joint_3_standard_sg,joint_3_realtime_sg,joint_4_raw,joint_4_standard_sg,joint_4_realtime_sg,joint_5_raw,joint_5_standard_sg,joint_5_realtime_sg,joint_6_raw,joint_6_standard_sg,joint_6_realtime_sg
0.820848,0.8208376060606049,0.8295581125541114,-0.422628,-0.4225891341991336,-0.4158991082251076,1.05235,1.0517370129870116,1.0466254978354963,0.938294,0.9383146406926394,0.9512572987012973,2.97647,2.976455021645018,2.9760574891774847,-1.19513,-1.195586666666665,-1.1716012554112538,3.0724,3.0724026839826797,3.072429393939389
0.818792,0.8187719696969684,0.8272843506493494,-0.424229,-0.4242150129870124,-0.4175864935064929,1.05045,1.050152164502163,1.0488619913419899,0.935772,0.9357954848484835,0.9475975108225093,2.97638,2.97636861471861,2.9762307359307316,-1.19768,-1.1985737662337645,-1.1799007792207776,3.07241,3.0724052380952336,3.0724187878787834
0.816742,0.8167400173160162,0.8250813939393928,-0.425856,-0.42587043290043225,-0.41928019480519424,1.04722,1.0472374458874443,1.05077857142857,0.933534,0.9335396623376611,0.9442121774891762,2.97619,2.9761799567099527,2.976367186147182,-1.19882,-1.1992168398268381,-1.1864613419913401,3.07241,3.072412510822507,3.0724098701298654
0.814737,0.8147439999999988,0.8229361601731588,-0.427592,-0.42761659307359245,-0.42094818614718565,1.04318,1.0433500432900418,1.0518783549783532,0.931493,0.9315022164502151,0.9411200173160159,2.97589,2.975891082251078,2.9764509956709913,-1.19809,-1.1964564935064919,-1.191572943722942,3.07242,3.072421688311684,3.072404372294368
0.812782,0.812801147186146,0.8208376060606049,-0.429468,-0.42950986580086514,-0.42258913419913363,1.03886,1.0390191341991326,1.0517370129870114,0.929644,0.9296386320346307,0.9383146406926393,2.97552,2.9755186147186103,2.976455021645017,-1.19287,-1.1899773593073575,-1.195586666666665,3.07243,3.0724295238095194,3.0724026839826792
0.810896,0.8109107705627694,0.8187719696969684,-0.431551,-0.4315750649350643,-0.42421501298701236,1.03453,1.0346758441558426,1.0501521645021628,0.927872,0.9278799567099554,0.9357954848484834,2.97506,2.975079913419909,2.9763686147186106,-1.18032,-1.1802454545454528,-1.1985737662337645,3.07244,3.0724351948051902,3.0724052380952336
0.809061,0.8090678614718603,0.816740017316016,-0.433811,-0.43381435497835436,-0.4258704329004323,1.03034,1.0304899567099552,1.0472374458874445,0.926172,0.9261540086580073,0.933539662337661,2.97455,2.974580086580082,2.9761799567099523,-1.16688,-1.1683679653679637,-1.1992168398268384,3.07244,3.0724398268398225,3.0724125108225055
0.807272,0.8072590259740248,0.8147439999999988,-0.43622,-0.4362194632034626,-0.4276165930735925,1.02648,1.02651515151515,1.0433500432900418,0.924498,0.9244324848484835,0.931502216450215,2.97399,2.9740077922077877,2.975891082251078,-1.15465,-1.1558573593073576,-1.1964564935064919,3.07244,3.0724421212121165,3.072421688311684
0.80546,0.8054640606060595,0.812801147186146,-0.438746,-0.43876258874458807,-0.4295098658008652,1.02277,1.0227180086580072,1.0390191341991328,0.922682,0.9226973766233753,0.9296386320346305,2.97335,2.973338571428567,2.9755186147186103,-1.14409,-1.1443948484848467,-1.1899773593073575,3.07244,3.0724421212121165,3.0724295238095194
0.803645,0.8036571168831157,0.8109107705627694,-0.441382,-0.44140466233766174,-0.43157506493506426,1.0191,1.019047402597401,1.0346758441558426,0.920843,0.9209363160173146,0.9278799567099553,2.97256,2.9725383982683944,2.975079913419909,-1.135,-1.1349824242424227,-1.1802454545454528,3.07244,3.0724389177489133,3.0724351948051907
0.801819,0.8018103722943711,0.8090678614718604,-0.444113,-0.44410174458874396,-0.4338143549783544,1.01549,1.0154626406926393,1.0304899567099552,0.919036,0.919096229437228,0.9261540086580073,2.97159,2.971570692640688,2.974580086580082,-1.12718,-1.127100649350648,-1.1683679653679637,3.07244,3.0724358008657964,3.0724398268398225
0.799923,0.7999001904761893,0.8072590259740249,-0.446831,-0.44681485714285646,-0.4362194632034626,1.01195,1.0119413376623363,1.0265151515151498,0.917126,0.9171061818181805,0.9244324848484834,2.97044,2.970400173160169,2.974007792207788,-1.12057,-1.120413376623375,-1.1558573593073573,3.07243,3.0724303030302984,3.072442121212117
