ball_qw,ball_qx,ball_qy,ball_qz
0.99998,0.004333,0.00133124,0.00433802
0.999979,0.00434949,0.00171795,0.00446389
0.999979,0.00432542,0.00151827,0.0045565
0.99998,0.00435067,0.00136014,0.00432738
0.99998,0.00430165,0.00141129,0.00451026
0.999978,0.0043878,0.00178711,0.00464001
0.999979,0.00422098,0.00194066,0.00452504
0.999981,0.00446939,0.00135606,0.00410317
0.999979,0.00433016,0.00144129,0.00454977
0.999979,0.00435725,0.00138914,0.00451181
0.99998,0.00435803,0.00175359,0.00417726
0.999979,0.00432184,0.00147477,0.00464215
0.999978,0.00435413,0.00190063,0.00461562
0.999979,0.00434228,0.00141422,0.00453399
0.99998,0.00433929,0.00182319,0.00422116
0.99998,0.00435369,0.001775,0.00419436
0.999981,0.00436779,0.00219314,0.00384424
0.999981,0.00445768,0.00133469,0.00397199
0.999978,0.00432411,0.00204147,0.00461189
0.999979,0.00432876,0.00149595,0.00466103
0.99998,0.00437203,0.00179479,0.00420943
0.999979,0.00439723,0.00183357,0.00431062
0.999982,0.0044524,0.00130693,0.00393421
0.99998,0.00439133,0.00174252,0.00432688
0.999982,0.00447479,0.00135966,0.00387832
0.999981,0.00439186,0.00160257,0.0039724
0.999979,0.00429917,0.00151115,0.00456208
0.999978,0.00443203,0.00191285,0.00445873
0.999979,0.00434025,0.00147765,0.00462536
0.999979,0.00434184,0.00195687,0.00430085
0.999979,0.00442359,0.00179078,0.00427545
0.999983,0.00427608,0.00189177,0.00341721
0.999979,0.00432703,0.00140479,0.00453364
0.999978,0.00431979,0.0016259,0.00475314
0.999981,0.00425345,0.00136295,0.004326
0.999979,0.0043641,0.00148267,0.00465093
0.999979,0.00426579,0.00157138,0.00464545
0.999979,0.00436234,0.00144898,0.00458204
0.999979,0.00432882,0.00190168,0.00449673
0.99998,0.00435095,0.00143657,0.00446533
0.999978,0.00436673,0.00158222,0.00474779
0.999979,0.00433701,0.00200307,0.00440412
0.999979,0.00433599,0.00151076,0.00452708
0.99998,0.00434048,0.00184872,0.00419929
0.99998,0.00442474,0.00177628,0.004247
0.999981,0.00434316,0.00135314,0.00425712
0.999979,0.00432744,0.00160388,0.00465719
0.999981,0.0043607,0.00132639,0.00418351
0.999979,0.00436836,0.00177556,0.00446052
0.999979,0.00435085,0.00138922,0.00457812
0.999981,0.00443594,0.00135876,0.00399804
0.999985,0.00426857,0.00231012,0.0027072
0.999979,0.00429474,0.00159914,0.00462659
0.99998,0.00438341,0.0017717,0.00422992
0.99998,0.00437153,0.0017988,0.00418702
0.999981,0.00446514,0.00133419,0.00411145
0.999981,0.0044491,0.00136516,0.00411578
0.999982,0.00435566,0.00175774,0.00365798
0.99998,0.00433269,0.00176864,0.00428253
0.999978,0.00428579,0.00154007,0.00473867
0.99998,0.00435817,0.0017618,0.00425322
0.999983,0.00431463,0.00207721,0.00342204
0.999981,0.00442924,0.00136023,0.00412683
0.999979,0.00439606,0.00142479,0.00460861
0.999979,0.00440434,0.00187937,0.00438194
0.999979,0.00431925,0.00173919,0.00450713
0.99998,0.00434156,0.00135965,0.00448396
0.999979,0.00429387,0.0015109,0.00462322
0.999978,0.00435206,0.00158216,0.00473105
0.999978,0.00428502,0.00195699,0.00463047
0.999979,0.00433289,0.00142904,0.00457572
0.999979,0.0043175,0.00152231,0.00458351
0.99998,0.00437546,0.0017249,0.00429353
0.99998,0.00434751,0.00145864,0.00439657
0.999976,0.00449083,0.00192048,0.00483213
0.99998,0.0043894,0.00181538,0.00418417
0.99998,0.00440079,0.00179538,0.00420365
0.999978,0.00436559,0.00204756,0.00448807
0.999979,0.00436956,0.00145835,0.00451327
0.999979,0.00435507,0.00141445,0.0044867
0.999981,0.0044549,0.00132792,0.00411618
0.99998,0.00436731,0.00177176,0.0041768
0.999983,0.00428511,0.00212527,0.00345518
0.99998,0.00436581,0.00183764,0.00430592
0.999982,0.00433273,0.0017703,0.00388691
0.99998,0.00435312,0.00143695,0.00436321
0.99998,0.00436609,0.00178458,0.00422902
0.999979,0.00435216,0.00142925,0.00456257
0.999978,0.0043567,0.00196385,0.0046223
0.99998,0.00433925,0.00175933,0.00425252
0.999979,0.00431841,0.00155242,0.00451779
0.999979,0.00431708,0.00178606,0.0044067
0.99998,0.00429741,0.00154186,0.00436553
0.99998,0.00436312,0.00174648,0.00419835
0.999979,0.00429158,0.00146107,0.00453251
0.999981,0.00436594,0.00157462,0.00398037
0.99998,0.00431335,0.00139754,0.00442988
0.999979,0.00434562,0.00139771,0.00448849
0.999979,0.00432989,0.00159721,0.00456991
0.999978,0.00435278,0.00187874,0.00473845
0.99998,0.00435145,0.00139256,0.00447983
0.999979,0.0043424,0.0018855,0.00453148
0.99998,0.00440711,0.00144545,0.00433076
0.999979,0.00442667,0.00170323,0.00441597
0.99998,0.00435979,0.00178508,0.00425128
0.999979,0.00435864,0.00140546,0.0046116
0.999978,0.00428005,0.00191012,0.00460616
0.999979,0.00433612,0.00142162,0.00457275
0.999978,0.00441491,0.00169744,0.00456577
0.999981,0.0044439,0.00132796,0.00395779
