         67443 function calls (67411 primitive calls) in 6.575 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      169    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:658(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.8/zipfile.py:759(read)
      169    0.000    0.000    0.000    0.000 {method 'reset' of 'ContextVar' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:588(formatTime)
      349    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      169    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:3222(_scalar_heuristic)
      174    0.000    0.000    0.000    0.000 /usr/lib/python3.8/queue.py:216(_get)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.8/zipfile.py:919(read)
       14    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/numpy/lib/format.py:944(_read_bytes)
      356    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      338    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      507    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      349    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       80    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 {built-in method time.strftime}
     36/4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/ast.py:76(_convert)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/zipfile.py:999(_read1)
      369    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/numpy/lib/format.py:224(read_magic)
       76    0.000    0.000    0.000    0.000 /usr/lib/python3.8/types.py:171(__get__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:761(__init__)
       29    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       76    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tokenize.py:170(add_whitespace)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/zipfile.py:811(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method torch.eye}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:222(__init__)
      338    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/fromnumeric.py:1987(_shape_dispatcher)
