set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6,actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,abs_error_0,abs_error_1,abs_error_2,abs_error_3,abs_error_4,abs_error_5,abs_error_6,sq_error_0,sq_error_1,sq_error_2,sq_error_3,sq_error_4,sq_error_5,sq_error_6
1.7034645,-1.1108521,-1.4337792,-0.7965657,1.8200508,1.3626065,-0.8314218,1.76565033471023,-1.178038428636886,-1.4988534864175243,-0.8150077386196748,1.7658573663988604,1.3137898135104469,-0.8415103539480231,1.7656646,-1.1764792,-1.497277,-0.8130709,1.7651381,1.312872,-0.8415041,1.4265289770110101e-05,0.0015592286368859565,0.001576486417524281,0.0019368386196747522,0.0007192663988604409,0.000917813510446841,6.253948023116074e-06,2.034984922252079e-10,2.4311939420852377e-06,2.4853094246385418e-06,3.7513438386635995e-06,5.173441525296668e-07,8.423816399587535e-07,3.911186587583745e-11
1.68927,-1.0967721,-1.4199216,-0.7934653,1.8292575,1.3662322,-0.8341113,1.7518528683875272,-1.162632613775734,-1.4855392622213852,-0.8067621587269496,1.7738360782115186,1.3167006479392838,-0.8408591814280248,1.752111,-1.162279,-1.4832542,-0.8087431,1.774406,1.3167402,-0.84084225,0.0002581316124727895,0.0003536137757338409,0.002285062221385248,0.001980941273050485,0.0005699217884813645,3.955206071615258e-05,1.6931428024835604e-05,6.663192935780237e-08,1.2504270238874312e-07,5.221509355602084e-06,3.924128327274876e-06,3.248108449857972e-07,1.5643655068942202e-09,2.866732549601885e-10
1.6757065,-1.0832353,-1.4059252,-0.8018427,1.8389556,1.3714395,-0.8431976,1.738539069636553,-1.1460593174736515,-1.4696369335028738,-0.802403183616701,1.7826902203117365,1.3201868417841038,-0.8402298180671326,1.7385383,-1.1481742,-1.4692848,-0.80578864,1.7835822,1.3206445,-0.8402815,7.696365529330507e-07,0.002114882526348394,0.0003521335028737749,0.0033854563832989015,0.0008919796882633779,0.00045765821589616174,5.1681932867420066e-05,5.923404236106685e-13,4.472728100253765e-06,1.2399800384615482e-07,1.1461314923219278e-05,7.956277642744328e-07,2.0945104257725778e-07,2.6710221849125143e-09
1.6628796,-1.0699899,-1.3930345,-0.81772137,1.8478528,1.3786252,-0.8471068,1.7247089700215552,-1.1314143877031513,-1.4544129854059407,-0.8053425084837218,1.7925695338111547,1.3248135983596865,-0.839923484425895,1.7249694,-1.1341628,-1.455405,-0.80490744,1.792707,1.3246175,-0.8398781,0.0002604299784447761,0.0027484122968486346,0.0009920145940593983,0.00043506848372176776,0.00013746618884535877,0.0001960983596864807,4.538442589507863e-05,6.782377367274654e-08,7.553770153468787e-06,9.840929548268328e-07,1.892845855279581e-07,1.889695307566784e-08,3.845456667172836e-08,2.0597461138258835e-09
1.6499281,-1.0563867,-1.3796856,-0.832309,1.8566934,1.3852198,-0.8528438,1.7113633114269935,-1.1150743160993268,-1.4378855093844427,-0.8089081704403345,1.8020171098342392,1.3291938291363716,-0.8396364526912822,1.7114501,-1.120241,-1.4416358,-0.8066603,1.8017993,1.3286897,-0.83967876,8.678857300647991e-05,0.005166683900673208,0.003750290615557317,0.0022478704403344762,0.00021780983423913547,0.000504129136371656,4.230730871779276e-05,7.532256404501093e-09,2.6694622529475715e-05,1.4064679701137279e-05,5.0529215165295125e-06,4.744112389127967e-08,2.5414618613883174e-07,1.789908370942623e-09
1.6370683,-1.0421515,-1.3670008,-0.8364471,1.865159,1.3913094,-0.8511985,1.697753187342421,-1.1016307436005226,-1.4259349450007774,-0.8099142113091987,1.8106083633188006,1.3325995777481092,-0.8397231252745376,1.6980224,-1.1063632,-1.4280174,-0.8107325,1.8108573,1.3328763,-0.8396673,0.0002692126575789544,0.004732456399477503,0.0020824549992226604,0.0008182886908012499,0.00024893668119929657,0.000276722251890682,5.58252745376242e-05,7.247545500072335e-08,2.2396143572955567e-05,4.3366188237874504e-06,6.695963814932235e-07,6.196947124652021e-08,7.657520469145006e-08,3.1164612772011133e-09
1.6256717,-1.0288742,-1.354593,-0.8442724,1.8726993,1.3983855,-0.84401846,1.6852908248846121,-1.0923045964200853,-1.4154426396311461,-0.8169425784761973,1.820459158659653,1.336660978660485,-0.8397245556440834,1.6847777,-1.0925158,-1.4145992,-0.81646216,1.8198504,1.3371869,-0.83975697,0.0005131248846121927,0.00021120357991466499,0.0008434396311460812,0.0004804184761972863,0.0006087586596530414,0.000525921339515012,3.241435591661013e-05,2.632971472082761e-07,4.460695216877028e-08,7.113904113878376e-07,2.3080191227172253e-07,3.705871057025675e-07,2.765932553572645e-07,1.050690469488678e-09
1.6109726,-1.0149243,-1.3426335,-0.85404414,1.8800822,1.4020913,-0.8372294,1.6720088151864358,-1.0805355545081106,-1.4038669347552737,-0.8232683394128442,1.828954858087131,1.3416718800607306,-0.8398521477909281,1.6716533,-1.0786799,-1.4014328,-0.8232571,1.8287349,1.3416044,-0.83985233,0.0003555151864358397,0.001855654508110538,0.0024341347552736536,1.1239412844199492e-05,0.00021995808713115572,6.748006073054036e-05,1.8220907194166358e-07,1.2639104778650984e-07,3.4434536534709627e-06,5.92501200683113e-06,1.2632440108235652e-10,4.838156009439709e-08,4.553558596197415e-09,3.3200145897842335e-14
1.5975735,-1.0019482,-1.3302118,-0.86391175,1.8869464,1.4069717,-0.83390874,1.6588629261350283,-1.0680434193446493,-1.3909437929169535,-0.8300557622981419,1.8373840594930317,1.3464724660592307,-0.8396929967845638,1.6585555,-1.0648803,-1.3885238,-0.8306891,1.8374591,1.3461095,-0.83989143,0.00030742613502821037,0.003163119344649301,0.002419992916953495,0.0006333377018580277,7.504050696827136e-05,0.000362966059230585,0.00019843321543622228,9.451082849838343e-08,1.0005323988494624e-05,5.856365718105085e-06,4.01116644594808e-07,5.6310776860551825e-09,1.3174436015338054e-07,3.93757409883582e-08
1.5863798,-0.98964626,-1.318572,-0.8736866,1.8941545,1.4128104,-0.83130115,1.6465800464569826,-1.0564673556285897,-1.378711386508958,-0.8393194541855831,1.8465493465476026,1.3506040189766155,-0.8397256399627306,1.6455188,-1.0511931,-1.3758609,-0.83849394,1.8459888,1.3506967,-0.8398447,0.0010612464569825786,0.00527425562858963,0.002850486508958028,0.0008255141855830761,0.000560546547602625,9.268102338455542e-05,0.00011906003726935843,1.126244042458076e-06,2.7817772435709394e-05,8.125273337751724e-06,6.814736705988894e-07,3.1421243202922194e-07,8.589772095608508e-09,1.417529247458102e-08
