current_joint_pos_0,current_joint_pos_1,current_joint_pos_2,current_joint_pos_3,current_joint_pos_4,current_joint_pos_5,current_joint_pos_6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,predicted_next_joint_pos_0,predicted_next_joint_pos_1,predicted_next_joint_pos_2,predicted_next_joint_pos_3,predicted_next_joint_pos_4,predicted_next_joint_pos_5,predicted_next_joint_pos_6,actual_next_joint_pos_0,actual_next_joint_pos_1,actual_next_joint_pos_2,actual_next_joint_pos_3,actual_next_joint_pos_4,actual_next_joint_pos_5,actual_next_joint_pos_6,abs_error_0,abs_error_1,abs_error_2,abs_error_3,abs_error_4,abs_error_5,abs_error_6,timestep
1.45997,-0.790107,-1.8489,-0.911882,2.16678,1.36473,-1.12738,1.37653,-0.714871,-1.8479,-0.88302,2.23203,1.42823,-1.17345,1.4120919639420162,-0.7645456170807867,-1.847766805503354,-0.9065126061244043,2.1633311734861516,1.3930772172201618,-1.1103940115981434,1.44851,-0.779714,-1.8484,-0.907503,2.17578,1.37349,-1.13392,0.03641803605798377,0.015168382919213297,0.0006331944966460057,0.0009903938755956299,0.012448826513848488,0.019587217220161657,0.0235259884018566,27
1.44851,-0.779714,-1.8484,-0.907503,2.17578,1.37349,-1.13392,1.36491,-0.704477,-1.8483,-0.881276,2.24113,1.43687,-1.1792,1.3963194077289742,-0.7529682082152898,-1.8474858162425516,-0.9023658742045039,2.1707924681328095,1.404914508678992,-1.1148715338064539,1.43702,-0.769333,-1.84805,-0.903471,2.18478,1.38223,-1.14036,0.04070059227102574,0.016364791784710286,0.0005641837574483777,0.0011051257954961535,0.013987531867190484,0.022684508678991966,0.025488466193546166,28
1.43702,-0.769333,-1.84805,-0.903471,2.18478,1.38223,-1.14036,1.35292,-0.693678,-1.87094,-0.866707,2.2476,1.44554,-1.17665,1.3921506798686405,-0.746240864480874,-1.853268857826826,-0.896630698623407,2.1837267528124635,1.405748167006954,-1.125619369739619,1.42551,-0.758965,-1.84796,-0.899564,2.19377,1.39098,-1.14668,0.03335932013135956,0.01272413551912599,0.005308857826825886,0.0029333013765929783,0.010043247187536686,0.014768167006953936,0.021060630260380853,29
1.42551,-0.758965,-1.84796,-0.899564,2.19377,1.39098,-1.14668,1.34139,-0.684654,-1.85566,-0.872768,2.25751,1.45512,-1.18875,1.3684958713328168,-0.7325912941358805,-1.8491145690873698,-0.8940747285192648,2.1874680440550502,1.4246361605928914,-1.1262195963077992,1.41398,-0.748597,-1.84801,-0.896002,2.20278,1.39972,-1.15289,0.04548412866718321,0.016005705864119424,0.0011045690873698888,0.0019272714807351266,0.01531195594494994,0.024916160592891368,0.02667040369220075,30
1.41398,-0.748597,-1.84801,-0.896002,2.20278,1.39972,-1.15289,1.32989,-0.673854,-1.85126,-0.875491,2.26651,1.46284,-1.19525,1.3488162583080268,-0.7188824379152325,-1.8482956588375035,-0.8912111861162793,2.1932404137367314,1.4402744464332127,-1.1281169299246783,1.40238,-0.738162,-1.85151,-0.89085,2.21141,1.40844,-1.15775,0.0535637416919732,0.019279562084767443,0.0032143411624965257,0.0003611861162792218,0.018169586263268478,0.03183444643321276,0.029633070075321788,31
1.40238,-0.738162,-1.85151,-0.89085,2.21141,1.40844,-1.15775,1.31846,-0.663787,-1.85913,-0.882566,2.27614,1.47212,-1.19897,1.3290856322671374,-0.7056439857504426,-1.853270118189923,-0.8876099806796789,2.1996058684825908,1.4555051799325671,-1.129977288646532,1.39077,-0.727924,-1.85306,-0.886962,2.22013,1.41729,-1.16336,0.06168436773286268,0.02228001424955739,0.00021011818992300313,0.0006479806796788612,0.020524131517409394,0.03821517993256718,0.03338271135346793,32
1.39077,-0.727924,-1.85306,-0.886962,2.22013,1.41729,-1.16336,1.30658,-0.653252,-1.85707,-0.883319,2.2852,1.4805,-1.20235,1.310805219625296,-0.692931419149281,-1.854064789370205,-0.8843882346812426,2.2062185508296808,1.4695527463479099,-1.1323894442053162,1.37918,-0.717658,-1.85291,-0.884548,2.22895,1.426,-1.16941,0.06837478037470412,0.024726580850718993,0.0011547893702048562,0.00015976531875738775,0.02273144917031944,0.043552746347909954,0.037020555794683885,33
1.37918,-0.717658,-1.85291,-0.884548,2.22895,1.426,-1.16941,1.29497,-0.642724,-1.85608,-0.882093,2.29426,1.48948,-1.20669,1.2945832562296076,-0.6815964990613839,-1.8539107649239772,-0.8820711831584888,2.2136730097970334,1.481477939174078,-1.1364589196132913,1.36762,-0.707397,-1.85378,-0.88382,2.2379,1.43476,-1.17512,0.07303674377039249,0.02580050093861619,0.0001307649239772335,0.0017488168415112915,0.02422699020296637,0.04671793917407796,0.03866108038670868,34
1.36762,-0.707397,-1.85378,-0.88382,2.2379,1.43476,-1.17512,1.28334,-0.632459,-1.85881,-0.884273,2.30301,1.49829,-1.21034,1.2780013812315598,-0.6700093362096424,-1.8555650366533947,-0.8816362732640318,2.2212168343977496,1.4938646207094566,-1.1400770438573222,1.35601,-0.697104,-1.85453,-0.883685,2.2469,1.44348,-1.18039,0.07800861876844012,0.02709466379035752,0.0010350366533946609,0.0020487267359682315,0.02568316560225048,0.050384620709456485,0.040312956142677825,35
1.35601,-0.697104,-1.85453,-0.883685,2.2469,1.44348,-1.18039,1.2717,-0.622166,-1.85983,-0.886989,2.31202,1.50679,-1.21439,1.261425224074503,-0.658231988621629,-1.8567756148289836,-0.8817543175195035,2.2285978609453374,1.5064206995760454,-1.1431086239730768,1.3444,-0.686763,-1.85489,-0.883425,2.25591,1.45222,-1.18543,0.08297477592549707,0.028531011378370996,0.0018856148289836394,0.0016706824804965104,0.027312139054662676,0.05420069957604534,0.04232137602692321,36
