action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.438507,0.575437,0.684599,0.718597,0.711201,-0.313049,0.379235
-0.438402,0.582549,0.685385,0.718263,0.709713,-0.308689,0.37755
-0.437996,0.589114,0.686322,0.717827,0.708484,-0.305478,0.375403
-0.437887,0.595027,0.687159,0.717348,0.707234,-0.302553,0.373315
-0.437895,0.600437,0.687887,0.716885,0.705958,-0.299637,0.371355
-0.438137,0.605551,0.688592,0.716345,0.704677,-0.297043,0.369372
-0.439171,0.610138,0.689248,0.715659,0.703288,-0.295183,0.367557
-0.439908,0.614504,0.689923,0.715015,0.701975,-0.293304,0.365674
-0.439772,0.619056,0.690697,0.714454,0.700794,-0.291048,0.3635
-0.4397,0.62334,0.691372,0.713847,0.699591,-0.28886,0.361412
-0.439808,0.627302,0.691979,0.713214,0.698381,-0.286824,0.359373
-0.440037,0.631016,0.692496,0.712691,0.697162,-0.284531,0.357326
-0.440165,0.634556,0.692989,0.712187,0.695967,-0.282234,0.355288
-0.440231,0.63793,0.693459,0.711685,0.694795,-0.279984,0.353263
-0.440245,0.641116,0.69392,0.711174,0.69364,-0.277768,0.351296
-0.439933,0.644049,0.694497,0.710635,0.692635,-0.276079,0.349399
-0.436934,0.647888,0.69542,0.710223,0.692029,-0.273456,0.346926
-0.434135,0.651575,0.696186,0.70976,0.691363,-0.270892,0.344493
-0.431475,0.655008,0.696899,0.709276,0.690692,-0.268464,0.342113
-0.428978,0.658286,0.697576,0.708826,0.690056,-0.266199,0.339544
-0.42663,0.661488,0.698074,0.708333,0.689418,-0.264358,0.336756
-0.424903,0.66439,0.698487,0.7078,0.688716,-0.262921,0.334114
-0.424913,0.66646,0.69864,0.707077,0.688055,-0.264098,0.332016
-0.425997,0.668172,0.698742,0.70631,0.687245,-0.265412,0.330135
-0.42798,0.669588,0.698743,0.705538,0.686265,-0.266734,0.328508
-0.43052,0.670783,0.698722,0.704786,0.68519,-0.268078,0.327054
-0.433299,0.671812,0.698658,0.704098,0.684076,-0.269302,0.325716
-0.436043,0.672717,0.698561,0.703502,0.68298,-0.270339,0.32446
-0.438614,0.673513,0.698444,0.703017,0.681947,-0.271166,0.323268
-0.441002,0.674141,0.698291,0.702698,0.681012,-0.271707,0.322197
-0.443257,0.674294,0.698102,0.702507,0.680254,-0.271974,0.321744
-0.444725,0.67412,0.697969,0.702495,0.67985,-0.271931,0.321768
-0.444629,0.67407,0.697999,0.702676,0.679896,-0.271604,0.321714
-0.443209,0.674241,0.698158,0.702954,0.680271,-0.271152,0.32148
-0.441451,0.674468,0.698321,0.703213,0.68071,-0.270732,0.321249
-0.439459,0.674702,0.698488,0.703486,0.681195,-0.270288,0.321047
-0.437634,0.674885,0.698626,0.703723,0.681639,-0.269898,0.320923
-0.436061,0.67499,0.698744,0.703916,0.68204,-0.269588,0.320893
-0.435041,0.674969,0.698814,0.704042,0.682338,-0.269389,0.320981
-0.434653,0.674852,0.698819,0.704115,0.682483,-0.269276,0.321153
-0.43506,0.674663,0.698748,0.704106,0.682425,-0.269297,0.321365
-0.435774,0.674463,0.698662,0.70407,0.682282,-0.269356,0.321559
-0.436451,0.674312,0.698589,0.704042,0.682136,-0.2694,0.32169
-0.437003,0.674196,0.698532,0.704023,0.682014,-0.269426,0.321786
-0.437389,0.674105,0.698492,0.704015,0.681932,-0.269433,0.321865
-0.437587,0.674057,0.698473,0.704019,0.681891,-0.269423,0.321904
-0.437691,0.674028,0.698462,0.704023,0.68187,-0.269413,0.321928
-0.437759,0.674006,0.698454,0.704024,0.681858,-0.269409,0.321949
-0.437781,0.673999,0.698452,0.704027,0.681854,-0.269402,0.321953
-0.437802,0.673994,0.698449,0.70403,0.681849,-0.269398,0.321955
-0.437809,0.673997,0.698448,0.704032,0.681846,-0.269393,0.321947
-0.43782,0.674,0.698446,0.704034,0.681841,-0.269391,0.321939
-0.437838,0.673998,0.698444,0.704034,0.681837,-0.269391,0.321939
-0.437861,0.673997,0.698442,0.704033,0.68183,-0.269393,0.321936
-0.437894,0.673991,0.698438,0.70403,0.681822,-0.269397,0.321943
-0.437914,0.673986,0.698436,0.70403,0.681818,-0.269397,0.321947
-0.437922,0.673985,0.698435,0.704031,0.681816,-0.269395,0.321947
-0.437914,0.673992,0.698436,0.704034,0.681816,-0.269391,0.321935
-0.437883,0.674005,0.698439,0.704039,0.681819,-0.269383,0.321917
