timestamp,body_id,pos_opt_x,pos_opt_y,pos_opt_z,pos_world_x,pos_world_y,pos_world_z,pos_smooth_x,pos_smooth_y,pos_smooth_z,vel_x,vel_y,vel_z,qx,qy,qz,qw
3499658702.186619,1,0.710088,0.545341,-1.402166,2.185166,-0.710088,1.120341,2.183811,-0.689216,1.109611,-0.262938,1.005873,0.328775,-0.822762,0.246411,0.186433,-0.477062
3499658702.218926,1,0.701803,0.521957,-1.399140,2.182140,-0.701803,1.096957,2.182690,-0.694921,1.111963,-0.571814,0.053949,0.278986,-0.908351,-0.361378,-0.082883,-0.193479
3499658702.727815,1,0.704213,0.528494,-1.418592,2.201592,-0.704213,1.103494,2.177656,-0.698978,1.114897,-1.010352,0.221929,0.700962,-0.721039,-0.418655,-0.514332,-0.200731
3499658702.809752,1,0.709632,0.545003,-1.401909,2.184909,-0.709632,1.120003,2.178037,-0.695093,1.111799,-1.129975,0.478124,0.128177,-0.825990,0.233201,0.185332,-0.478549
3499658703.071004,1,0.686910,0.535739,-1.399449,2.182449,-0.686910,1.110739,2.183507,-0.697934,1.109444,-0.451935,0.511878,-0.243548,-0.555032,-0.004486,0.454496,0.696673
3499658703.089446,1,0.691394,0.545574,-1.398991,2.181991,-0.691394,1.120574,2.185748,-0.695299,1.108755,0.539464,0.245260,-0.409456,-0.620096,0.210038,0.335643,0.677280
3499658703.108331,1,0.704213,0.528595,-1.418543,2.201543,-0.704213,1.103595,2.186816,-0.695256,1.114708,0.585226,-0.010863,0.193907,-0.715545,-0.430794,-0.510904,-0.203443
3499658703.123647,1,0.698412,0.526805,-1.394837,2.177837,-0.698412,1.101805,2.189612,-0.699672,1.114813,0.407011,-0.115880,0.357929,-0.205948,-0.517619,0.168774,0.813124
3499658703.140166,1,0.699799,0.527471,-1.394599,2.177599,-0.699799,1.102471,2.186083,-0.695362,1.113501,0.022364,-0.004207,0.316416,-0.189242,-0.472517,0.103247,0.854550
3499658703.190989,1,0.702098,0.536255,-1.393879,2.176879,-0.702098,1.111255,2.186968,-0.695476,1.106503,0.010177,-0.014690,-0.546988,-0.029781,-0.438570,-0.335369,0.833245
3499658703.649032,1,0.701765,0.529094,-1.389060,2.172060,-0.701765,1.104094,2.183774,-0.699168,1.098932,0.516404,0.139178,-0.468419,0.319860,0.358893,0.704392,0.522224
3499658703.755099,1,0.685899,0.521692,-1.400914,2.183914,-0.685899,1.096692,2.180904,-0.697269,1.101896,0.043461,0.372975,-0.129419,-0.362260,-0.484511,0.792200,0.080222
3499658703.774230,1,0.703561,0.529298,-1.419764,2.202764,-0.703561,1.104298,2.177362,-0.692591,1.103567,-0.300536,0.797641,0.221733,-0.719269,-0.452906,-0.493944,-0.183161
3499658703.820730,1,0.704223,0.528615,-1.418550,2.201550,-0.704223,1.103615,2.180029,-0.691485,1.103871,-0.249666,0.512185,0.329236,-0.715750,-0.429163,-0.511784,-0.203956
3499658703.868267,1,0.702100,0.521427,-1.400376,2.183376,-0.702100,1.096427,2.188424,-0.694600,1.103382,0.501361,0.177918,0.099072,-0.911057,-0.355388,-0.086130,-0.190408
3499658704.153701,1,0.705282,0.529949,-1.399109,2.182109,-0.705282,1.104949,2.177897,-0.698092,1.097872,-1.190169,0.161101,-0.152007,-0.880680,-0.464933,-0.090347,0.008860
3499658704.170959,1,0.703983,0.530995,-1.396694,2.179694,-0.703983,1.105995,2.179515,-0.698608,1.099653,-0.712926,0.333285,-0.054975,-0.887828,-0.452798,-0.073350,0.036802
3499658704.667421,1,0.697462,0.523579,-1.395872,2.178872,-0.697462,1.098579,2.182956,-0.697115,1.108666,0.182176,0.243759,0.600598,0.010672,-0.154620,0.930833,0.330952
3499658704.722122,1,0.697797,0.523800,-1.395777,2.178777,-0.697797,1.098800,2.183355,-0.692105,1.109303,0.256147,0.749857,0.601835,0.014192,-0.149750,0.932831,0.327414
3499658704.739852,1,0.697403,0.523580,-1.395813,2.178813,-0.697403,1.098580,2.182454,-0.690434,1.109023,0.117549,0.793323,0.354173,0.010744,-0.153811,0.930622,0.331918
3499658704.851353,1,0.703919,0.529714,-1.419726,2.202726,-0.703919,1.104714,2.178842,-0.690801,1.103330,-0.274276,0.420913,-0.355695,-0.719682,-0.450504,-0.497450,-0.177901
3499658704.913122,1,0.699040,0.545793,-1.394524,2.177524,-0.699040,1.120793,2.182487,-0.697479,1.097229,-0.057863,-0.358291,-0.804913,-0.021040,0.349495,-0.135137,0.926903
3499658705.189511,1,0.704297,0.528677,-1.418498,2.201498,-0.704297,1.103677,2.190207,-0.699952,1.108609,0.134615,0.229232,0.329067,-0.714500,-0.433253,-0.510358,-0.203263
3499658705.266879,1,0.702178,0.535798,-1.392938,2.175938,-0.702178,1.110798,2.194173,-0.699792,1.109139,0.210510,0.329553,0.379252,-0.003732,0.033193,0.000644,0.999442
3499658705.766188,1,0.698031,0.523816,-1.396499,2.179499,-0.698031,1.098816,2.182569,-0.695691,1.109862,-0.295544,0.665470,0.373610,0.014650,-0.162128,0.933109,0.320635
3499658705.784858,1,0.697434,0.523542,-1.395845,2.178845,-0.697434,1.098542,2.183555,-0.692879,1.109703,0.343573,0.521658,-0.011830,0.010548,-0.154940,0.930461,0.331851
3499658705.822075,1,0.697630,0.523599,-1.395926,2.178926,-0.697630,1.098599,2.182603,-0.692322,1.108288,0.347189,0.534422,-0.006882,0.012873,-0.153708,0.931006,0.330812
3499658705.842710,1,0.684379,0.545262,-1.396336,2.179336,-0.684379,1.120262,2.181355,-0.696531,1.099946,-0.080956,-0.056018,-0.661044,-0.444525,0.362106,0.532520,0.622655
3499658705.860967,1,0.701886,0.529175,-1.388985,2.171985,-0.701886,1.104175,2.179705,-0.692784,1.103973,-0.256684,0.006359,-0.382043,0.318357,0.361288,0.704605,0.521202
3499658705.997016,1,0.702324,0.523572,-1.401105,2.184105,-0.702324,1.098572,2.177189,-0.695397,1.103757,-0.360962,-0.204978,-0.302089,-0.941399,-0.293871,-0.043873,-0.159632
3499658706.012313,1,0.700797,0.526150,-1.398418,2.181418,-0.700797,1.101150,2.177516,-0.694732,1.107137,-0.255954,0.119971,0.479428,-0.997305,0.072018,0.012124,-0.006977
3499658706.118622,1,0.685990,0.537381,-1.400180,2.183180,-0.685990,1.112381,2.178168,-0.698183,1.105696,-0.102483,-0.359988,0.114929,-0.684009,0.113102,0.340699,0.635031
3499658706.158447,1,0.701965,0.528997,-1.389489,2.172489,-0.701965,1.103997,2.180660,-0.697347,1.105461,0.231440,-0.129986,0.113630,0.324398,0.359774,0.704093,0.519212
3499658706.223997,1,0.699435,0.528375,-1.394702,2.177702,-0.699435,1.103375,2.180618,-0.699019,1.102429,0.206820,-0.285786,-0.313872,-0.185214,-0.426176,0.095329,0.880331
3499658706.240572,1,0.703371,0.536848,-1.394346,2.177346,-0.703371,1.111848,2.180593,-0.695870,1.104350,0.161719,0.154238,-0.089774,-0.020952,-0.443019,-0.346178,0.826714
3499658706.256062,1,0.703437,0.526410,-1.396541,2.179541,-0.703437,1.101410,2.177224,-0.696537,1.107693,-0.229074,0.053960,0.148739,-0.945778,-0.266620,-0.053341,-0.177688
3499658706.582366,1,0.704067,0.531138,-1.396979,2.179979,-0.704067,1.106138,2.181012,-0.698583,1.107500,0.252532,-0.136349,-0.012854,-0.886609,-0.452416,-0.079855,0.053544
3499658706.671540,1,0.697414,0.523595,-1.395869,2.178869,-0.697414,1.098595,2.181734,-0.699458,1.107462,0.374010,0.095590,0.092030,0.010733,-0.154644,0.930445,0.332026
3499658706.905983,1,0.701753,0.529082,-1.389077,2.172077,-0.701753,1.104082,2.182518,-0.698666,1.104143,0.332081,0.187276,-0.188245,0.319559,0.358513,0.704733,0.522208
3499658707.008483,1,0.703436,0.530497,-1.396766,2.179766,-0.703436,1.105497,2.179606,-0.699611,1.103384,-0.093758,-0.068560,-0.274391,-0.891176,-0.447672,-0.059900,0.042523
3499658707.309345,1,0.704219,0.528645,-1.418517,2.201517,-0.704219,1.103645,2.184379,-0.699994,1.110088,0.186722,0.323968,0.619660,-0.715340,-0.430801,-0.511266,-0.203240
3499658707.383028,1,0.690051,0.550603,-1.401439,2.184439,-0.690051,1.125603,2.182056,-0.698725,1.099942,-0.463480,0.132695,-0.654327,-0.084289,0.523381,0.170530,0.830595
3499658707.400776,1,0.701980,0.529401,-1.389008,2.172008,-0.701980,1.104401,2.184804,-0.693844,1.106507,-0.359559,0.489075,0.050748,0.321006,0.360320,0.702831,0.522640
3499658707.467483,1,0.702463,0.522233,-1.401747,2.184747,-0.702463,1.097233,2.177536,-0.691766,1.111912,-0.642179,0.773171,0.867158,-0.913879,-0.350221,-0.081158,-0.188639
3499658707.485219,1,0.700886,0.526128,-1.398218,2.181218,-0.700886,1.101128,2.180060,-0.694032,1.113213,-0.133079,0.312843,0.884726,-0.997308,0.071268,0.015007,-0.008544
3499658707.533986,1,0.701382,0.523945,-1.402706,2.185706,-0.701382,1.098945,2.179885,-0.697062,1.110370,-0.327901,-0.214473,0.257560,-0.934535,-0.305229,-0.057976,-0.173546
3499658708.088385,1,0.690659,0.545409,-1.400418,2.183418,-0.690659,1.120409,2.188121,-0.699319,1.104215,0.159476,0.221727,0.249132,-0.677206,0.289966,0.325627,0.592687
3499658708.119109,1,0.704250,0.528589,-1.418528,2.201528,-0.704250,1.103589,2.185850,-0.695480,1.108842,-0.009300,0.580070,0.583870,-0.715116,-0.431213,-0.510899,-0.204075
3499658708.129766,1,0.704450,0.528725,-1.418457,2.201457,-0.704450,1.103725,2.185652,-0.694772,1.111003,0.012481,0.385677,0.555016,-0.713511,-0.438003,-0.508061,-0.202308
3499658708.146804,1,0.700604,0.527435,-1.395414,2.178414,-0.700604,1.102435,2.188526,-0.696757,1.110367,0.027023,0.170768,0.410174,-0.204584,-0.451642,0.098032,0.862876
3499658708.479701,1,0.701690,0.529101,-1.389097,2.172097,-0.701690,1.104101,2.179929,-0.696096,1.107498,0.104107,0.305013,0.351592,0.319717,0.358298,0.704279,0.522872
3499658708.524625,1,0.699719,0.531335,-1.395525,2.178525,-0.699719,1.106335,2.181419,-0.693459,1.109088,0.077032,0.583371,0.486926,-0.132697,-0.503817,-0.087607,0.849050
