ball_vx,ball_vy,ball_vz
-11.4744,-1.58659,11.2722
-11.4744,-1.58659,11.2722
-4.81014,1.88234,0.0982912
-4.81014,1.88234,0.0982912
-1.64468,-3.21395,3.67949
-1.64468,-3.21395,3.67949
0,-2.16265e-05,4.32529e-05
0,-2.16265e-05,4.32529e-05
-7.93647,-0.223331,6.08472
-7.93647,-0.223331,6.08472
0,1.28376e-05,0
0,1.28376e-05,0
-9.97751,-2.1008,6.3069
-9.97751,-2.1008,6.3069
0,-5.41681e-06,0
0,-5.41681e-06,0
-0.853164,-11.4146,6.26372
-0.853164,-11.4146,6.26372
-5.09022,1.51869,0.0657487
-5.09022,1.51869,0.0657487
-5.61936,0.646663,2.53239
-5.61936,0.646663,2.53239
-2.43798,-1.30783,3.53749
-2.43798,-1.30783,3.53749
-2.89408,-3.42271,3.59267
-2.89408,-3.42271,3.59267
-3.4883,-2.0095,2.58412
-3.4883,-2.0095,2.58412
-3.14549,4.02335,0.709657
-3.14549,4.02335,0.709657
-3.02613,-0.41543,2.78678
-3.02613,-0.41543,2.78678
-4.79843,-0.61569,1.33783
-4.79843,-0.61569,1.33783
-3.87085,-0.312489,-0.20524
-3.87085,-0.312489,-0.20524
-3.54575,-1.26261,0.626334
-3.54575,-1.26261,0.626334
-3.54575,-1.26261,0.626334
-3.54575,-1.26261,0.626334
-3.74519,-1.72162,0.831995
-3.74519,-1.72162,0.831995
-2.0741,-3.37083,3.68593
-2.0741,-3.37083,3.68593
-4.67325,4.02937,1.41204
-4.67325,4.02937,1.41204
-4.67325,4.02937,1.41204
-4.67325,4.02937,1.41204
