ball_x,ball_y,ball_z
0.710763,0.591228,-1.54594
0.710806,0.591148,-1.54602
0.71072,0.591253,-1.54603
0.7111,0.591208,-1.54602
0.710681,0.591249,-1.54592
0.710882,0.591161,-1.54604
0.710874,0.591328,-1.54597
0.710681,0.591229,-1.54592
0.711112,0.591429,-1.54599
0.710885,0.591276,-1.54596
0.710595,0.591789,-1.54592
0.710724,0.59138,-1.54598
0.710942,0.591207,-1.54579
0.710924,0.591225,-1.54605
0.710626,0.591294,-1.54595
0.710987,0.591171,-1.54607
0.710812,0.591319,-1.5459
0.710965,0.591238,-1.54588
0.710843,0.591192,-1.54601
0.710892,0.591173,-1.54596
0.711087,0.591209,-1.54594
0.710814,0.591186,-1.54603
0.710828,0.591167,-1.54602
0.710867,0.591368,-1.54594
0.710834,0.591394,-1.54595
0.71088,0.591178,-1.546
0.710722,0.591282,-1.54595
0.71088,0.591242,-1.54612
0.710824,0.59104,-1.54589
0.710732,0.591318,-1.54602
0.710793,0.591567,-1.54596
0.710868,0.591467,-1.54595
0.710999,0.591196,-1.54591
0.710677,0.591216,-1.54596
0.710826,0.59148,-1.54594
0.710809,0.591423,-1.54595
0.710858,0.5912,-1.54598
0.710813,0.59121,-1.54599
0.710838,0.591321,-1.54595
0.710913,0.591275,-1.54598
0.710871,0.591267,-1.54587
0.710871,0.591293,-1.54594
0.710845,0.591265,-1.54598
0.71082,0.591216,-1.54591
0.710733,0.59113,-1.546
0.710803,0.591526,-1.54606
0.710823,0.591074,-1.54576
0.710621,0.591326,-1.54604
0.710997,0.591344,-1.54569
0.710895,0.591494,-1.5459
0.710853,0.591186,-1.54602
0.710845,0.591581,-1.5458
0.710767,0.591688,-1.54584
0.710772,0.591245,-1.54603
0.71076,0.59121,-1.54586
0.71079,0.591205,-1.54599
0.710951,0.59116,-1.54568
0.710616,0.591305,-1.54588
0.710816,0.591314,-1.54599
0.711061,0.591241,-1.54588
0.710846,0.591127,-1.54579
0.710968,0.59127,-1.54592
0.710789,0.591315,-1.5459
0.71096,0.59123,-1.54593
0.710882,0.59123,-1.54587
0.710842,0.591192,-1.546
0.710881,0.591605,-1.54588
0.710851,0.591151,-1.54589
0.710956,0.591298,-1.54597
0.710715,0.591342,-1.54598
0.710791,0.591275,-1.5462
0.710859,0.591229,-1.54602
0.710845,0.591261,-1.54601
0.710989,0.59124,-1.54584
0.710899,0.591252,-1.54588
0.71106,0.591269,-1.54614
0.710708,0.59168,-1.54581
0.71065,0.591161,-1.54588
0.710822,0.591215,-1.54586
0.710874,0.591177,-1.54592
0.710786,0.591203,-1.54595
0.710633,0.591226,-1.54603
0.710774,0.591483,-1.546
0.710803,0.591195,-1.546
0.710816,0.591175,-1.54586
0.710909,0.591476,-1.54609
0.71078,0.591192,-1.5459
0.710723,0.591202,-1.54578
0.710898,0.591481,-1.54571
0.710921,0.591604,-1.54591
0.710891,0.591241,-1.54613
0.71083,0.59121,-1.54598
0.710831,0.59144,-1.54593
0.710796,0.591187,-1.54587
0.710893,0.591272,-1.54592
0.710769,0.591099,-1.54586
0.710788,0.591125,-1.54594
0.710836,0.591474,-1.54605
0.710847,0.59123,-1.54588
0.710771,0.591183,-1.54596
0.71108,0.591275,-1.54602
0.710917,0.591169,-1.54581
0.71072,0.591177,-1.54598
0.710955,0.591217,-1.54606
0.710746,0.591074,-1.54596
0.710844,0.591402,-1.54603
0.710908,0.59125,-1.54588
0.710888,0.591274,-1.54591
0.710834,0.591494,-1.54602
0.710829,0.591196,-1.5459
0.710669,0.591173,-1.54602
0.710909,0.591218,-1.54588
0.710894,0.591583,-1.54586
0.710835,0.591224,-1.54597
0.710946,0.591195,-1.54593
0.710764,0.591226,-1.54601
0.711031,0.591213,-1.54593
0.710958,0.591584,-1.54603
0.710835,0.591161,-1.54602
0.710849,0.591241,-1.5459
0.710741,0.591199,-1.54592
0.711012,0.59113,-1.54579
0.710735,0.591237,-1.54595
0.710715,0.59154,-1.54587
0.710608,0.591198,-1.54585
0.710854,0.591179,-1.54588
0.710735,0.591399,-1.54591
0.711019,0.591307,-1.54608
0.710971,0.591362,-1.54601
0.710646,0.591204,-1.54586
0.710852,0.591503,-1.54595
0.711028,0.591174,-1.54592
0.710831,0.591211,-1.54597
0.710912,0.591359,-1.54586
0.710837,0.591235,-1.54606
0.710869,0.591176,-1.54598
0.711025,0.591254,-1.54585
0.71074,0.590927,-1.54593
0.710777,0.591216,-1.54582
0.710861,0.591222,-1.54594
0.710787,0.591355,-1.54599
0.711145,0.591245,-1.54574
0.710738,0.591261,-1.54597
0.71111,0.591525,-1.54576
0.710858,0.591331,-1.54596
0.710799,0.590949,-1.5459
0.710877,0.591475,-1.54593
0.710675,0.59121,-1.54591
0.710981,0.591321,-1.54569
0.710947,0.591317,-1.54579
0.710753,0.591528,-1.54607
0.710722,0.591172,-1.54593
0.710802,0.590871,-1.54587
0.710815,0.591257,-1.54598
