action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.462027,-0.577302,0.523982,-0.491258,0.324933,-0.313667,0.250913
-0.476758,-0.646373,0.517561,-0.333731,0.614677,0.129347,0.18199
-0.589052,-0.58658,0.572553,-0.356668,0.620422,0.673978,-0.0104963
-0.503603,-0.0894416,0.643443,-0.444845,0.634376,0.649031,0.336586
-0.459664,0.00591367,0.533453,-0.323229,0.60628,0.655669,0.341158
-0.441431,0.248205,0.660761,-0.316729,0.628669,0.685385,0.323998
-0.313316,-0.236608,0.658539,-0.392458,0.619087,0.669223,0.266654
-0.559817,-0.145627,0.653425,-0.547685,0.626668,0.683451,0.436228
-0.542216,-0.459625,0.599538,-0.554223,0.602301,0.671278,0.424117
-0.624697,-0.493554,0.617106,-0.492501,0.601279,0.671513,0.428129
-0.607735,-0.41812,0.600306,-0.46175,0.599338,0.626907,0.407015
-0.603242,-0.386095,0.563936,-0.441668,0.598473,0.606783,0.401741
-0.610799,-0.484652,0.5762,-0.428919,0.597764,0.604154,0.431232
-0.661183,-0.553417,0.596466,-0.470767,0.589339,0.568928,0.435208
-0.69096,-0.48472,0.58283,-0.488326,0.564948,0.534273,0.421656
-0.692707,-0.427873,0.578241,-0.476042,0.576541,0.533051,0.395916
-0.698903,-0.485529,0.57687,-0.475364,0.585858,0.538297,0.387424
-0.715052,-0.481435,0.566759,-0.506098,0.58439,0.538419,0.390322
-0.71882,-0.45318,0.549765,-0.518862,0.559098,0.545442,0.371144
-0.717709,-0.412914,0.491977,-0.536235,0.545043,0.554989,0.34759
-0.718221,-0.383136,0.426663,-0.555643,0.531333,0.573735,0.331605
-0.720839,-0.379957,0.374788,-0.552783,0.548376,0.619069,0.311364
-0.718706,-0.390674,0.350586,-0.55392,0.54981,0.633574,0.29429
-0.713889,-0.395085,0.344804,-0.556311,0.548079,0.634817,0.287093
-0.708412,-0.37363,0.327502,-0.576961,0.540235,0.628955,0.284007
-0.699765,-0.382076,0.328347,-0.588355,0.536133,0.62829,0.280754
-0.700039,-0.391288,0.281797,-0.587788,0.536085,0.632359,0.284178
-0.698859,-0.427173,0.2498,-0.588731,0.537862,0.632777,0.280642
-0.697456,-0.46884,0.156812,-0.587025,0.535393,0.623573,0.269491
-0.68156,-0.57897,-0.0482957,-0.58015,0.542639,0.596251,0.255224
-0.62202,-0.688633,-0.173751,-0.527838,0.547872,0.586124,0.220108
-0.579387,-0.707127,-0.293625,-0.544695,0.530274,0.588901,0.222023
-0.566183,-0.700862,0.00610602,-0.572776,0.529547,0.593535,0.216311
-0.504082,-0.646176,-0.2598,-0.575038,0.512426,0.510622,0.269385
-0.584573,-0.68991,-0.0732704,-0.553945,0.509487,0.625518,0.149872
-0.379962,-0.669385,0.245437,-0.525408,0.524696,0.555359,0.167354
-0.550506,-0.180969,0.18966,-0.603513,0.545355,0.530391,0.242716
-0.589833,-0.648987,0.661415,-0.639449,0.634587,-0.280353,-0.07207
0.544343,-0.709227,0.626607,-0.510332,0.630334,0.056434,-0.31343
0.663862,-0.757775,0.661667,-0.67531,0.640084,-0.486927,-0.405465
0.640974,-0.755407,0.652459,-0.657692,0.642892,-0.0340465,-0.380929
0.600702,-0.755866,0.649258,-0.661073,0.639582,-0.0332782,-0.39932
0.612802,-0.754911,0.662712,-0.672105,0.641704,-0.21884,-0.412411
0.618898,-0.755799,0.661638,-0.665642,0.642685,-0.260386,-0.407523
0.610268,-0.756574,0.655615,-0.660122,0.6383,-0.20804,-0.397341
0.623219,-0.756574,0.655832,-0.657963,0.636473,-0.235149,-0.396059
0.632459,-0.756714,0.656304,-0.651843,0.635834,-0.245842,-0.393549
0.638128,-0.757634,0.654681,-0.64781,0.635038,-0.212864,-0.389917
0.644968,-0.758252,0.653793,-0.647088,0.634745,-0.199541,-0.388541
0.652054,-0.758311,0.654026,-0.652887,0.634008,-0.204575,-0.387962
0.659975,-0.758507,0.654642,-0.663571,0.633005,-0.209866,-0.390156
0.662952,-0.759021,0.655299,-0.664624,0.633688,-0.240747,-0.390935
0.665804,-0.759582,0.656303,-0.665531,0.63489,-0.291128,-0.391696
0.652321,-0.759047,0.6595,-0.658215,0.636022,-0.357306,-0.396772
0.644895,-0.758891,0.660757,-0.64738,0.63637,-0.393409,-0.398544
0.645727,-0.759523,0.660627,-0.63461,0.636897,-0.414686,-0.398074
0.649434,-0.760008,0.660868,-0.625043,0.637566,-0.427747,-0.397666
0.657956,-0.760708,0.66115,-0.621351,0.638129,-0.434083,-0.396336
0.666571,-0.761408,0.6616,-0.620068,0.638644,-0.439261,-0.394417
0.674877,-0.76163,0.662027,-0.613118,0.639095,-0.452422,-0.392997
0.686756,-0.761405,0.662385,-0.608506,0.638469,-0.464507,-0.389141
0.696522,-0.76104,0.662409,-0.602666,0.637516,-0.47299,-0.384679
0.702412,-0.76064,0.661919,-0.591539,0.637014,-0.47486,-0.380958
0.714676,-0.760822,0.6603,-0.58136,0.636894,-0.472162,-0.37584
0.729983,-0.761005,0.657345,-0.575516,0.63546,-0.452891,-0.367001
0.743743,-0.761069,0.653246,-0.567361,0.633392,-0.422183,-0.356066
0.753541,-0.760681,0.649782,-0.551879,0.631453,-0.402096,-0.345982
0.756596,-0.759457,0.648051,-0.534838,0.628969,-0.39486,-0.338738
0.760878,-0.756612,0.646348,-0.512471,0.625724,-0.386452,-0.328378
0.764922,-0.75298,0.644301,-0.485715,0.622088,-0.365241,-0.317637
0.769014,-0.747543,0.642271,-0.438427,0.617667,-0.33686,-0.305642
0.77313,-0.742067,0.638885,-0.384802,0.612105,-0.293524,-0.290746
0.776843,-0.737262,0.629524,-0.312355,0.607206,-0.288293,-0.276904
0.779776,-0.737584,0.612831,-0.266686,0.604777,-0.315324,-0.276996
0.781736,-0.736638,0.597433,-0.198272,0.60227,-0.314681,-0.263605
0.783409,-0.734198,0.576875,-0.0730828,0.598063,-0.326826,-0.249143
0.785409,-0.73179,0.556867,0.0351892,0.594353,-0.240768,-0.221783
0.788786,-0.725225,0.552855,0.109448,0.592162,-0.104462,-0.19467
0.79104,-0.716181,0.570824,0.129626,0.592606,0.0540945,-0.166717
0.792393,-0.709717,0.610936,0.15435,0.594006,0.141988,-0.14229
0.792009,-0.706817,0.632468,0.187081,0.598236,0.0658654,-0.12957
0.792785,-0.70717,0.62708,0.17883,0.602926,-0.0824235,-0.127954
0.794858,-0.708615,0.603816,0.151865,0.602964,-0.130771,-0.122817
0.795611,-0.705389,0.601184,0.135236,0.602214,-0.198817,-0.128343
0.795968,-0.701751,0.602464,0.0933741,0.602699,-0.269104,-0.132887
0.796353,-0.700933,0.607361,0.0795081,0.602802,-0.30589,-0.138038
0.796791,-0.698691,0.624654,0.0884112,0.602579,-0.289626,-0.142537
0.795986,-0.689024,0.636277,0.129719,0.60137,-0.277193,-0.134978
0.796378,-0.677711,0.635844,0.179816,0.598977,-0.286096,-0.109185
0.797996,-0.66947,0.630058,0.238204,0.596425,-0.257299,-0.0757379
0.798795,-0.656119,0.627069,0.303388,0.592379,-0.183906,-0.0344665
0.79767,-0.649122,0.630959,0.34644,0.591491,-0.130666,-0.0028665
0.794694,-0.642058,0.63198,0.375922,0.592166,-0.0992558,0.0217159
0.792263,-0.628421,0.633204,0.394555,0.592695,-0.0756175,0.0374465
0.790316,-0.612635,0.634146,0.406681,0.594576,-0.0929927,0.0260369
0.788872,-0.593572,0.635527,0.39389,0.596801,-0.17994,-0.0175916
0.789364,-0.58555,0.635383,0.361907,0.598024,-0.246286,-0.0496057
0.791674,-0.585014,0.634977,0.315835,0.59839,-0.246527,-0.069289
0.792735,-0.584058,0.635957,0.280531,0.598598,-0.255905,-0.0874712
0.792764,-0.582595,0.636557,0.27002,0.598264,-0.263419,-0.101953
0.792564,-0.577839,0.636888,0.281574,0.598355,-0.279002,-0.109744
0.792756,-0.57204,0.635809,0.29915,0.597971,-0.268422,-0.109096
0.793214,-0.566384,0.634798,0.320917,0.597544,-0.232821,-0.0986015
0.793077,-0.552355,0.634535,0.333734,0.597587,-0.226364,-0.0967447
0.79295,-0.547956,0.633442,0.339758,0.598076,-0.218617,-0.105299
0.793164,-0.548818,0.633232,0.343087,0.598379,-0.235486,-0.109243
0.794065,-0.550324,0.63266,0.343349,0.597868,-0.23473,-0.104808
0.794608,-0.549958,0.632091,0.351321,0.597636,-0.228979,-0.10045
0.794545,-0.543199,0.631786,0.358742,0.59771,-0.236335,-0.103392
0.794345,-0.53541,0.63124,0.371746,0.597529,-0.212849,-0.103255
0.794277,-0.524153,0.631013,0.382891,0.59773,-0.206801,-0.104167
0.794265,-0.512923,0.630465,0.377215,0.597834,-0.197519,-0.112528
0.794213,-0.509722,0.630355,0.374486,0.597959,-0.197954,-0.120794
0.794625,-0.509851,0.630236,0.363671,0.597876,-0.204805,-0.130487
0.794928,-0.508744,0.630055,0.366398,0.59766,-0.207549,-0.134205
0.795213,-0.505069,0.629676,0.370732,0.597675,-0.204087,-0.135802
0.795136,-0.494636,0.629573,0.368906,0.59839,-0.195725,-0.140981
0.794688,-0.480536,0.629443,0.371055,0.599394,-0.180648,-0.145782
0.794219,-0.468336,0.62971,0.368908,0.60102,-0.176669,-0.15233
0.794001,-0.460518,0.629838,0.358929,0.601555,-0.181977,-0.162226
0.794638,-0.467918,0.629582,0.34822,0.601757,-0.207584,-0.174784
0.795352,-0.48184,0.629284,0.340613,0.601343,-0.231661,-0.18212
0.796026,-0.495982,0.629063,0.338788,0.60046,-0.254341,-0.183806
0.796734,-0.503735,0.628747,0.33948,0.600296,-0.25957,-0.182656
0.797266,-0.504987,0.628466,0.354513,0.600362,-0.254385,-0.175296
0.79748,-0.499006,0.628042,0.372809,0.601025,-0.246262,-0.168421
0.79733,-0.485312,0.627384,0.390479,0.601925,-0.227095,-0.162463
0.796927,-0.472407,0.626744,0.397849,0.602602,-0.209657,-0.163852
0.796619,-0.461798,0.626401,0.391847,0.603248,-0.216165,-0.17541
0.796803,-0.463178,0.625773,0.382671,0.603388,-0.217289,-0.186547
0.797103,-0.467934,0.625361,0.384166,0.603015,-0.233039,-0.191681
0.797529,-0.472132,0.624649,0.377322,0.602953,-0.229076,-0.198798
0.797619,-0.467922,0.624716,0.382893,0.603517,-0.232016,-0.200548
0.797656,-0.460249,0.624034,0.386775,0.60445,-0.222065,-0.204992
0.79725,-0.452083,0.623993,0.390842,0.605895,-0.204949,-0.208445
0.79673,-0.442934,0.62383,0.393458,0.606985,-0.200273,-0.21395
0.796459,-0.436138,0.623304,0.393931,0.60732,-0.196026,-0.21994
0.796637,-0.440175,0.622885,0.387125,0.608064,-0.200331,-0.228199
0.796828,-0.447787,0.622794,0.378334,0.608096,-0.21469,-0.235607
0.797185,-0.456799,0.622406,0.380999,0.607448,-0.230888,-0.237589
0.797732,-0.464963,0.621969,0.374094,0.607832,-0.233432,-0.240695
0.797712,-0.461996,0.621767,0.380374,0.608646,-0.233563,-0.241282
0.797689,-0.457895,0.621069,0.389568,0.609138,-0.225226,-0.241447
0.797274,-0.451724,0.620593,0.39168,0.609796,-0.225581,-0.245673
